WejfbZ22qlq-VZJwreE5Fg,3746,-1018,NoCurbRamp,SurfaceProblem,60
r2Oo5S8v2ritGCEjbC3fEA,4146,-951,SurfaceProblem,SurfaceProblem,52
wuk--sZ3fJyMsMo4tJuybg,4684,-948,NoCurbRamp,CurbRamp,35
V-L9_vKYo_c8ftXiiIei2w,7924,-640,CurbRamp,CurbRamp,60
bV4C_Q1VLnHuAnCl0C5n6g,70,-640,Obstacle,Obstacle,74
W8_emPaPRqM87VAUNvL9KQ,9076,-448,Obstacle,Obstacle,54
T4qW76s-3MCGQfsXJ0G7AA,2201,-179,CurbRamp,Obstacle,63
LsO4IQZWo6v_SB8MIg4QpQ,7141,-464,NoCurbRamp,NoCurbRamp,61
NxGqyhjeCbOGEzwvXp_5lg,2166,-507,NoCurbRamp,SurfaceProblem,77
9Ec-rByR7q90916QMnrZjw,3007,-1108,NoCurbRamp,SurfaceProblem,66
qTqy8ApuwdqFJLM39Tpohw,2489,-596,SurfaceProblem,SurfaceProblem,52
oqP7byVfpym5eotQ9U4fdA,4741,-478,NoCurbRamp,SurfaceProblem,52
xjFbY9o7maOIw6WWqGPb3g,4835,-561,Obstacle,SurfaceProblem,51
DF4VBwDNJeFEg80MG6WL-A,4043,-608,SurfaceProblem,SurfaceProblem,43
nZMTzQsf8Yhsb8Dd9yBwHw,2104,-734,NoCurbRamp,SurfaceProblem,58
A-eM226LYCgGNB1WLubj8Q,2339,-946,SurfaceProblem,SurfaceProblem,35
p-rJVykMOw5fr52Lo8svYw,12272,-1048,NoCurbRamp,SurfaceProblem,63
FV8qUKIW0My0Nfe2k4459A,9056,-219,SurfaceProblem,Obstacle,52
_ooQwlzQF_tLa6m_NydXoQ,8233,-715,Obstacle,Obstacle,38
z2CaNDeJwX0fFi45ay-xTg,10635,-390,CurbRamp,Obstacle,55
BnNslKXkN6VExflPOKJ8jw,1864,-257,Obstacle,Obstacle,56
nTol0mPdHLvkBYOC2VYToA,1498,-913,CurbRamp,Obstacle,50
hDnmhdxjioVmAw7opmGksQ,159,-265,CurbRamp,Obstacle,63
iXYGtES5ujggzEp38_EJYg,9326,-419,Obstacle,Obstacle,50
dTz4WUjV2cN8CdlrYRIljQ,5713,-352,NoCurbRamp,SurfaceProblem,41
brmET-k8-7Wc7c6EpWEc1w,4967,-528,SurfaceProblem,SurfaceProblem,40
tOy882rkHwRTi2BEp0_4AA,3233,-458,CurbRamp,SurfaceProblem,53
Kdy17T0hvCa_9qpAJYHLjg,7149,-817,CurbRamp,Obstacle,52
Hw0xWH4HqJTn2yhCpwNHoA,4012,-707,CurbRamp,SurfaceProblem,55
vgWIpyO2xEL8ceVKK8u4QA,11605,-634,NoCurbRamp,NoCurbRamp,56
0Y_pWJAhRs_uedmnIiIm0A,11124,-784,SurfaceProblem,SurfaceProblem,53
_ThcAfjL-9PVTI2IGWcIkg,5819,-416,NoCurbRamp,Obstacle,59
b_oAXeqgQXNskG-vg5PiVQ,11607,-248,CurbRamp,Obstacle,61
PfUfvQBPMDtsbtpoPlTBpw,4278,-584,SurfaceProblem,SurfaceProblem,78
omDZ1-fFNfCXRBMJfcvQtQ,2510,-327,Obstacle,Obstacle,51
7YiyTzFbvNivLvYXAuu88Q,3852,-693,SurfaceProblem,Obstacle,56
5f6UAV6KRhpRiUOg9Aw-qg,795,-463,CurbRamp,CurbRamp,68
idYCvlxAe29SD5bymWo-7w,5603,-1027,Obstacle,Obstacle,51
7ujsI1IaeN3Z-zrg4HUQHw,5447,-513,SurfaceProblem,SurfaceProblem,38
fmMub6D899aDUy-lqFWVDA,12477,-535,CurbRamp,Obstacle,52
pX8k1JNtPHn6ApSLt0WG-A,9908,-598,Obstacle,SurfaceProblem,65
dd3XXVb8eaIf5FcUAMqySg,10095,-775,CurbRamp,Obstacle,59
WaQLAHgltK-hu7bF0T8yJg,4913,-732,Obstacle,SurfaceProblem,52
cmucC73cw4gRsuMaUi4rrg,9186,-424,SurfaceProblem,NoCurbRamp,36
RuCFS7Zkg9pqvKOS1KYC9A,3259,-1596,CurbRamp,SurfaceProblem,41
7YiyTzFbvNivLvYXAuu88Q,3194,-779,Obstacle,Obstacle,55
Wo48_aT9oB8iT_kLiRKPyw,13244,-296,NoCurbRamp,Obstacle,38
VNQoX0jKHUnS-3q2WUrRYA,7903,-358,CurbRamp,Obstacle,56
nb9t2WMO155n_KZOcxOECQ,4152,-491,Obstacle,Obstacle,57
7Y3UweyyZqDYGrFaXYUyUA,6474,-1402,Obstacle,Obstacle,56
KNqpqoiAo51zDgLJZGXmqg,12746,-388,CurbRamp,Obstacle,62
FtVutmNrUKipYvd8o9vcaw,2915,-385,Obstacle,Obstacle,44
9LEVZRCMnKr72YlnRxmw1g,4634,-440,SurfaceProblem,SurfaceProblem,57
VFCm87uDgQGl_dGyUwniWA,6776,-715,NoCurbRamp,CurbRamp,35
h23DpudAUQLh6JtsZcPseg,11091,-857,SurfaceProblem,SurfaceProblem,63
E4k4z3NyNliDRFMn_94fig,919,-641,SurfaceProblem,Obstacle,66
iW9sQHZj-q8tcm85q7uY9w,11040,-845,CurbRamp,NoCurbRamp,51
QP-wbK_b0uXCjHa8rGpDzg,658,-191,CurbRamp,Obstacle,59
LUc-zNs7mO2ahq797oH-zQ,2443,-606,SurfaceProblem,Obstacle,39
22eSqmXh8urszibqJkvoPg,879,-197,NoCurbRamp,CurbRamp,43
6WbY_F4cHQF3KGel39vcQw,6991,-536,SurfaceProblem,Obstacle,59
A-eM226LYCgGNB1WLubj8Q,4108,-331,CurbRamp,SurfaceProblem,61
3cVMk8nTH_hvkIvKz7EG_A,1277,-1117,SurfaceProblem,SurfaceProblem,42
D5Se4AuiyxHr2ht2CkjnBQ,6236,-393,SurfaceProblem,NoCurbRamp,45
xknXWuoxVvX58NGN6sJ2vQ,1647,-291,SurfaceProblem,NoCurbRamp,61
3ZqzG78yCvMxWjtsbS4sUA,2820,-577,NoCurbRamp,SurfaceProblem,53
yVu1RX2Ri4CQa2dpYDoxAA,2307,-280,NoCurbRamp,NoCurbRamp,55
OCXcoiBzrjS1KbyIzez83g,947,-475,NoCurbRamp,NoCurbRamp,51
AqwNzjEXzE0LhxIln801Gg,813,-650,SurfaceProblem,NoCurbRamp,61
QxbzMVZ-YYo_voWhEwVV6A,11549,-289,Obstacle,Obstacle,50
ygjyGcyTFoqeYILY2wpOxw,9224,-622,Obstacle,Obstacle,53
DTN__8w8ljcdVDYlDJ9Vog,5190,-359,Obstacle,CurbRamp,56
xscW1Uom1Upky-QGqHrwhw,3782,-456,CurbRamp,Obstacle,53
eyktT1fL6ymP6jOXXa9_0Q,10691,-309,Obstacle,Obstacle,76
bR6oV1AfV5_ZgG9qxk7sJg,12685,-100,SurfaceProblem,Obstacle,34
gtZURGpFLF06wq2toy_gBg,3533,-318,CurbRamp,Obstacle,57
Kdy17T0hvCa_9qpAJYHLjg,8040,-1205,NoCurbRamp,Obstacle,45
OkUNf5Iejn03-NppiYCj0g,5537,-393,SurfaceProblem,Obstacle,56
HmIrniqCXRRLdzjoaAmLfA,9892,-842,Obstacle,SurfaceProblem,55
53PJ9NuERcvfRvPwoRIkUQ,1417,-251,Obstacle,Obstacle,54
pn4K6uKsurl7qs5Dx8eUaA,3750,-281,CurbRamp,Obstacle,55
C_VI7Urkz6UMbfog3Eo5vA,4474,-248,CurbRamp,Obstacle,54
V8mHHhxXbbHC6GxGeSJNWw,2275,-324,CurbRamp,Obstacle,54
v1T1O7XDKe0TzihZhwWkeQ,1359,-372,Obstacle,Obstacle,73
6WbY_F4cHQF3KGel39vcQw,43,-1281,CurbRamp,CurbRamp,30
1eePVoxBHty00iRN3_k72g,2195,-787,SurfaceProblem,SurfaceProblem,57
iXYGtES5ujggzEp38_EJYg,11083,-353,Obstacle,NoCurbRamp,61
nC0E3q3UrWGGC-bBmo-tZQ,10119,-457,Obstacle,Obstacle,71
B3bw7uMP9XPZKN3cLNWtTw,5531,-345,Obstacle,CurbRamp,64
rmiHQyvoRbz9ozkfMWjdKA,11419,-231,Obstacle,Obstacle,64
3zcrhqVZmXigArxxbhf3Xg,5017,-593,CurbRamp,Obstacle,51
cCrayTbMqZM40aLipINa4g,550,-430,SurfaceProblem,Obstacle,61
SFmz-YEp3vbrMEuNhh206A,9461,-423,Obstacle,Obstacle,51
o1YKH3l1bjb_swTCIeuF_w,404,-693,CurbRamp,NoCurbRamp,67
PzKLPRWBFuASHjalf9__Sw,6386,-374,NoCurbRamp,Obstacle,51
2A6p50LemUj6YuJYRTcoOA,5069,-837,Obstacle,NoCurbRamp,52
lN36mH7jt-ksHznZyegv_g,1879,-368,CurbRamp,Obstacle,54
EWazcRXx4rxAJN-uqRdT1g,5597,-441,Obstacle,Obstacle,64
UUiDDc1b4CUITVCmY2uTlQ,12584,-340,SurfaceProblem,Obstacle,35
SyBRKwoEe9GPdCDLFUtSGg,1993,-294,Obstacle,Obstacle,77
yniMIVaOvbrF21Hv797hZw,9259,-628,Obstacle,SurfaceProblem,56
YYphuyoJuOKXQ5SKeDNLZw,12642,-982,NoCurbRamp,SurfaceProblem,67
lk95zcW0edw2sZCB1rMPTA,12710,-408,CurbRamp,CurbRamp,54
TrU4DYp3l-VZwSqYcDGq3A,4387,-695,CurbRamp,SurfaceProblem,52
fG8IfgmxxrrbToWxg1L50Q,12756,-19,Obstacle,Obstacle,52
lO6AMvS9-cBy5JuBM4SMEw,3486,-351,CurbRamp,SurfaceProblem,60
4gQPTKnVWtTrdCF7HXPANg,9449,-324,CurbRamp,Obstacle,51
phssnN9IGJPhjw6xKvvz-g,1077,-432,CurbRamp,Obstacle,50
7cwGTyrtV6yKUtHO6TmUew,12056,-797,NoCurbRamp,NoCurbRamp,59
b0eOV36e75GdxsTJKxhJzw,5509,-420,CurbRamp,Obstacle,50
tHaeiW4iQaaeTM4gFFqLKw,2223,-207,Obstacle,Obstacle,56
xknXWuoxVvX58NGN6sJ2vQ,361,-326,Obstacle,NoCurbRamp,63
-E5BPxO3cbnDFLEmdC4jLA,11235,-689,NoCurbRamp,Obstacle,70
b_oAXeqgQXNskG-vg5PiVQ,5133,-190,Obstacle,Obstacle,66
6WbY_F4cHQF3KGel39vcQw,7272,-720,SurfaceProblem,NoCurbRamp,61
S8AayapUV3yoGfr3yAJArQ,11140,-490,Obstacle,Obstacle,63
IFNOhPDdL1TzZihIu1B0Xw,10387,-735,CurbRamp,SurfaceProblem,55
Y7TcC9o_qgl-XI15vT8zsg,3581,-1078,SurfaceProblem,NoCurbRamp,61
OOKrJTBWOBrGyv-rlK5HvA,2350,-310,SurfaceProblem,Obstacle,42
aRBv6J1fZut0D40jKVm0IQ,5383,-417,SurfaceProblem,NoCurbRamp,53
KCe4bSr7VfB-KnwE2M_x0g,12382,-397,CurbRamp,Obstacle,58
lnqOidrfYokO7MFMI2c3iA,10925,-426,CurbRamp,Obstacle,63
7cwGTyrtV6yKUtHO6TmUew,1797,-671,NoCurbRamp,NoCurbRamp,74
3v1xeZNOZtkRCiHkbLy6vg,4801,-350,NoCurbRamp,NoCurbRamp,55
fG8IfgmxxrrbToWxg1L50Q,13036,-63,NoCurbRamp,Obstacle,38
A-eM226LYCgGNB1WLubj8Q,3599,-639,CurbRamp,Obstacle,53
b_oAXeqgQXNskG-vg5PiVQ,11176,-255,CurbRamp,Obstacle,61
oTojcOLTvAojggMKbp3aVA,10336,-82,CurbRamp,Obstacle,56
3ZqzG78yCvMxWjtsbS4sUA,3356,-459,CurbRamp,Obstacle,53
idYCvlxAe29SD5bymWo-7w,6301,-1042,Obstacle,Obstacle,41
WEUDr7EXfm12sFX5GuLMsQ,11701,-830,Obstacle,Obstacle,42
4Czt4q0BsHpIvLTRccKRuQ,9507,-417,CurbRamp,Obstacle,52
y3Y2-dz1rtZpCqH0W-Odyw,4762,-526,NoCurbRamp,Obstacle,46
